Time	FKH2	MCM1	ACE2	CLN3	SWI6	MBP1	SWI4	NDD1	SWI5
1	0	1	1	1	1	0	1	0	0
2	0	1	0	1	1	0	1	1	0
3	0	1	0	0	1	0	1	0	0
4	0	1	1	0	1	0	1	0	1
5	0	0	0	0	0	1	0	0	1
6	0	1	1	0	1	0	1	0	1
7	0	0	1	0	1	1	1	0	1
8	0	1	1	1	1	0	1	0	1
9	0	0	0	1	0	1	1	0	1
10	0	1	0	1	1	0	1	0	0
11	0	0	0	1	1	1	1	1	0
12	0	0	0	0	1	0	1	0	0
13	0	0	0	0	1	1	0	0	0
14	0	1	0	0	1	1	1	0	0
15	0	1	0	0	1	1	0	1	1
16	0	1	1	0	1	0	1	0	1
17	0	0	1	1	1	1	0	0	1
18	0	0	1	0	1	0	1	0	1
19	0	1	0	1	0	1	0	1	1
20	0	1	1	0	1	1	0	1	1
21	0	0	0	1	1	1	1	1	1
22	0	1	0	0	1	0	1	0	0
23	0	0	0	0	1	0	1	0	0
24	1	0	0	0	1	0	1	0	0
