Time	FKH2	MCM1	ACE2	CLN3	SWI6	MBP1	SWI4	NDD1	SWI5
1	-0.31	-0.34	-0.92	-0.05	-0.73	-0.16	-0.21	-0.41	-1.82
2	-0.19	0.09	-1.31	-0.15	-0.42	-0.3	0.19	-0.9	-1.35
3	-0.91	0.3	-0.96	-0.58	0.01	-0.33	0.86	0.16	-0.65
4	-0.03	0.11	-0.42	-0.58	0.28	0.08	0.04	0.55	-0.67
5	0.16	0.16	0.19	0.18	0.32	0.32	-0.35	0.49	-0.4
6	0.34	0.13	0.36	-0.67	0.29	0.27	-0.39	0.56	0.34
7	0.46	0.02	0.63	0.29	0.09	0.27	-0.51	0.2	0.57
8	0.51	0.22	0.55	0.2	0.05	0.03	-0.2	0.06	0.47
9	0.5	-0.24	0.72	0.02	-0.32	-0.01	0	-0.26	0.51
10	-0.31	0.38	0.51	1.32	-0.1	-0.54	0.92	-0.5	0.34
11	-0.44	0.19	-0.31	0.27	0.12	-0.24	0.77	-0.38	0.12
12	-0.07	0	-0.58	0	-0.12	-0.15	0.41	0.19	-0.25
13	0.11	-0.53	0.21	-0.41	0.09	0.33	0.14	0.38	0.08
14	0	0.1	0	-0.05	0	0	-0.45	0.25	0
15	-0.02	-0.18	0.29	0.17	0.35	0.27	-1.23	0	0.8
16	0.28	-0.17	0.73	0.14	0.1	0.23	0	-0.16	1.27
17	-0.09	-0.24	0.3	-0.11	-0.01	-0.08	0	-0.23	0.63
