Time	CLN3	CLN1	SWI4	SIC1	CLN2	CLB6	CLB5	CDC6	CDC28	SWI6	MBP1
1	1.04	-1.56	-1.21	-0.66	-1.41	-1.79	-0.98	-1.53	0.12	-0.06	-0.39
2	0.19	-0.93	-0.26	0.1	-0.69	0	-0.38	-0.12	-0.57	-0.18	-0.21
3	0.47	1.29	1.36	-0.57	1.39	2.13	0.92	0.55	0.22	-0.14	-0.46
4	-1.03	0	1.37	-0.21	1.98	1.75	0.97	0	-0.06	-0.13	-0.31
5	-0.63	0.94	0.54	-0.45	0.74	0.23	0.26	-0.58	0.03	0.34	-0.07
6	-0.68	0.48	0.18	-0.42	0.21	0.15	-0.09	-0.22	-0.33	0.13	0.16
7	0.1	0.07	-0.85	-0.77	-0.36	-0.66	-0.18	0.16	0.26	0.28	-0.29
8	-0.02	-0.54	-0.82	-0.53	-1.32	-0.77	-0.4	-0.09	-0.15	-0.03	0.01
9	0.53	-1.11	-0.75	-0.47	-1.5	-0.73	-0.35	-0.16	-0.18	-0.23	0.22
10	0.68	-0.77	0.07	0.81	-1.07	-0.15	-0.33	1.02	0.37	0.1	0.43
11	0.51	0.66	0.89	1.41	0.35	1.14	0.7	0.88	-0.18	-0.35	0.56
12	-0.2	1.14	0.78	1.01	1.57	1.41	0.61	0.46	0.38	0.11	-0.16
13	-0.34	0.99	0.37	0.68	1.1	0.46	0.31	0.1	0.14	0.08	-0.33
14	-0.59	0.3	-0.19	0.21	0.56	-0.21	-0.23	-0.39	-0.05	-0.16	0.09
15	-0.31	0.35	-0.11	-0.04	0.18	-0.77	0.1	-0.37	-0.03	0.14	0.12
16	-0.25	-0.02	-0.54	-0.09	-0.32	-0.56	-0.2	-0.24	0.28	0.04	0.49
17	0.11	-0.41	-0.34	-0.28	-0.38	-1.04	-0.21	0.07	-0.33	0.17	0.07
18	0.44	-0.88	-0.47	0.27	-1.04	-0.58	-0.5	0.47	0.08	-0.09	0.07
