Time	CLN3	CLN1	SWI4	SIC1	CLN2	CLB6	CLB5	CDC6	CDC28	SWI6	MBP1
1	1	0	0	0	0	0	0	0	1	0	0
2	1	0	0	0	0	0	0	0	0	0	0
3	1	1	1	0	1	1	1	1	1	0	0
4	0	1	1	0	1	1	1	0	0	0	0
5	0	1	1	0	1	0	1	0	1	1	0
6	0	1	1	0	1	0	0	0	0	1	1
7	1	1	0	0	0	0	0	0	1	1	0
8	1	0	0	0	0	0	0	0	0	0	1
9	1	0	0	0	0	0	0	0	0	0	1
10	1	0	0	1	0	0	0	1	1	1	1
11	1	1	1	1	1	1	1	1	0	0	1
12	0	1	1	1	1	1	1	1	1	1	0
13	0	1	1	1	1	1	1	0	1	1	0
14	0	1	0	1	1	0	0	0	0	0	1
15	0	1	0	0	1	0	0	0	0	1	1
16	0	1	0	0	0	0	0	0	1	1	1
17	1	0	0	0	0	0	0	0	0	1	1
18	1	0	0	1	0	0	0	1	1	0	1
