Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
1	0.6214225	0.2390612	0.5982388	0.5632529	0.2781876	0.5746758	0.0310556	0.569451	0.6049886	0.7464546
2	0.8004574	0.4170516	0.620354	0.669013	0.0817893	0.6601408	0.0468794	0.6268083	0.5608383	0.1666217
3	0.6781367	0.514873	0.7095644	0.6712292	0.0735007	0.7105138	0.2139203	0.5607125	0.5292581	0.0918277
4	0.7292155	0.5629737	0.4802403	0.6909312	0.0782346	0.5723542	0.2245143	0.4565252	0.5700155	0.1029095
5	0.5791297	0.5773526	0.4776338	0.7006687	0.054544	0.6168664	0.3546319	0.3010967	0.5165074	0.085134
6	0.6906482	0.5637635	0.458834	0.6515318	0.0490949	0.4416718	0.3593754	0.2920852	0.6256374	0.0802164
7	0.7007028	0.6017739	0.6233981	0.6972747	0.0498437	0.468512	0.3464837	0.2779408	0.3984917	0.0988948
8	0.7556584	0.4771433	0.4343449	0.6815534	0.0414899	0.4333314	0.3269221	0.3084055	0.6015836	0.0803427
9	0.624518	0.5544779	0.4531289	0.5830193	0.033116	0.51677	0.3752645	0.2561096	0.6249951	0.1220516
10	0.6891365	0.6536083	0.5028973	0.5979125	0.0270327	0.4203254	0.3917628	0.2607094	0.5927344	0.1571696
11	0.6622871	0.5198033	0.4988099	0.6340543	0.0278255	0.5410433	0.4397045	0.287045	0.5574422	0.0663755
12	0.6887933	0.1960484	0.3742972	0.6129607	0.0793537	0.4186002	0.3225044	0.3012594	0.6341172	0.5742544
13	0.6045479	0.083869	0.5810182	0.6252922	0.043504	0.4255524	0.2767918	0.5910418	0.6825656	0.7103575
14	0.5684042	0.0356073	0.6740862	0.6342926	0.0439163	0.4200009	0.1409197	0.5096427	0.6031092	0.750324
15	0.6582119	0.0531711	0.5696768	0.5467389	0.2711414	0.5468745	0.0750331	0.5478757	0.7415918	0.7683042
16	0.6445721	0.2349321	0.5992847	0.7499564	0.1615188	0.6114492	0.0782815	0.6860586	0.6787966	0.6779843
17	0.6131108	0.2170617	0.7271016	0.7221774	0.0985495	0.7561949	0.0956761	0.6613248	0.696761	0.7004863
18	0.6966552	0.1460906	0.5998186	0.6117993	0.0383284	0.7809917	0.1152209	0.6461899	0.6830579	0.6952332
19	0.6749025	0.0630306	0.7797116	0.5934496	0.1781693	0.6441666	0.1570782	0.6637484	0.6633103	0.5083225
20	0.640904	0.108727	0.6581622	0.7943677	0.1796589	0.6360057	0.0710659	0.6833402	0.5969944	0.720937
21	0.6693021	0.2346898	0.7078107	0.6569468	0.2512058	0.6430747	0.0885121	0.6389621	0.618197	0.7452549
