Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
1	0	0	1	0	1	1	0	1	0	1
2	1	1	1	1	0	1	0	1	0	0
3	0	1	1	1	0	1	0	1	0	0
4	1	1	0	1	0	1	0	0	0	0
5	0	1	0	1	0	1	1	0	0	0
6	0	1	0	0	0	0	1	0	0	0
7	0	1	1	1	0	0	1	0	0	0
8	1	1	0	1	0	0	1	0	0	0
9	0	1	0	0	0	0	1	0	0	0
10	0	1	0	0	0	0	1	0	0	0
11	0	1	0	0	0	1	1	0	0	0
12	0	0	0	0	0	0	1	0	1	1
13	0	0	1	0	0	0	1	1	1	1
14	0	0	1	0	0	0	0	1	0	1
15	0	0	1	0	1	1	0	1	1	1
16	0	0	1	1	1	1	0	1	1	1
17	0	0	1	1	0	1	0	1	1	1
18	0	0	1	0	0	1	0	1	1	1
19	0	0	1	0	1	1	0	1	1	1
20	0	0	1	1	1	1	0	1	0	1
21	0	0	1	1	1	1	0	1	0	1
