Time	YKL109W	YCL066W	YCL067C	YJL056C	YCR040W	YLR098C	YLR013W	YJL110C	YCR097W	YCR096C	YPR199C	YDR421W	YOL089C	YGR044C	YCR018C	YOR140W	YHR006W	YOR032C	YPL248C	YML051W	YGL209W	YGL035C	YMR280C	YDR146C	YML113W	YCR039C	YER189W	YCL065W	YCR041W	YNL339C	YDR545W	YNL337W	YGR296W	YNL336W	YER188CA	YBL111C	YDR543C	YHR091C	YDR544C	YER190W	YGL001C	YKL178C	YBR019C	YMR135WA	YBR020W	YPL283C	YLR463C	YLR467W	YLR465C	YDR009W
0	0.2946350	0.4299947	0.9556917	1.0000000	0.4149508	1.0000000	0.3036270	1.0000000	0.9569983	0.8655859	1.0000000	1.0000000	1.0000000	0.2310184	0.6600131	0.5863131	0.9353359	1.0000000	0.5495757	0.9998979	1.0000000	0.3518821	0.8990416	0.9927432	1.0000000	0.0557495	0.3260049	0.4507096	0.7916898	0.8175984	0.8241903	0.1925173	0.1741157	0.4387258	0.3453040	0.3578581	0.6744319	0.4240056	0.9981458	0.5339357	0.6612455	0.0787994	0.4944991	0.6511452	0.5933219	0.2498197	0.8423692	0.8245144	0.8069161	0.5635360
1	0.2945944	0.4299055	0.9556823	1.0000000	0.4147875	1.0000000	0.3036403	0.9775887	0.9569989	0.8656043	0.9910808	1.0000000	1.0000000	0.2310265	0.6627752	0.5863146	0.9353360	1.0000000	0.5495743	0.9998991	0.9647136	0.3518818	0.8973251	0.9927424	1.0000000	0.0557720	0.3364271	0.4508138	0.7916559	0.8175978	0.8242636	0.1925449	0.1739987	0.4386188	0.3453297	0.3580623	0.6744533	0.4240824	0.9981617	0.5339208	0.6612178	0.0787970	0.4942119	0.6511184	0.5933032	0.2506772	0.8411189	0.8244952	0.8065382	0.5701197
2	0.2945943	0.4299052	0.9556823	1.0000000	0.4147868	1.0000000	0.3036404	0.9557008	0.9569989	0.8656044	0.9823765	1.0000000	1.0000000	0.2310265	0.6654541	0.5863145	0.9353360	1.0000000	0.5495743	0.9999001	0.9310260	0.3518818	0.8956456	0.9927424	1.0000000	0.0557721	0.3459669	0.4508142	0.7916558	0.8175978	0.8242639	0.1925450	0.1739983	0.4386184	0.3453298	0.3580630	0.6744534	0.4240827	0.9981618	0.5339207	0.6612177	0.0787970	0.4942108	0.6511183	0.5933031	0.2506803	0.8400651	0.8244951	0.8065367	0.5765625
3	0.2945997	0.4299046	0.9556823	1.0000000	0.4147858	1.0000000	0.3036404	0.9343240	0.9569989	0.8656046	0.9738820	1.0000000	1.0000000	0.2310265	0.6680537	0.5863145	0.9353360	1.0000000	0.5495560	0.9999011	0.8988648	0.3518858	0.8940008	0.9927424	1.0000000	0.0557722	0.3546988	0.4508144	0.7916535	0.8175977	0.8242641	0.1925451	0.1739993	0.4386180	0.3453299	0.3580642	0.6744535	0.4240816	0.9981618	0.5339282	0.6612176	0.0787970	0.4942085	0.6511191	0.5933040	0.2506833	0.8390430	0.8244947	0.8065353	0.5828552
4	0.2946158	0.4299036	0.9556823	1.0000000	0.4147838	1.0000000	0.3036405	0.9134464	0.9569989	0.8656050	0.9655921	1.0000000	1.0000000	0.2310265	0.6705764	0.5863145	0.9353360	1.0000000	0.5495030	0.9999021	0.8681607	0.3518974	0.8923843	0.9927424	1.0000000	0.0557723	0.3626910	0.4508142	0.7916473	0.8175973	0.8242644	0.1925454	0.1740030	0.4386177	0.3453300	0.3580663	0.6744536	0.4240777	0.9981619	0.5339501	0.6612176	0.0787970	0.4942039	0.6511214	0.5933066	0.2506863	0.8380527	0.8244938	0.8065338	0.5889925
5	0.2946471	0.4299017	0.9556822	1.0000000	0.4147806	1.0000000	0.3036405	0.8930563	0.9569989	0.8656059	0.9575021	1.0000000	1.0000000	0.2310266	0.6730245	0.5863145	0.9353360	1.0000000	0.5494009	0.9999030	0.8388478	0.3519199	0.8907902	0.9927424	1.0000000	0.0557723	0.3700061	0.4508134	0.7916353	0.8175966	0.8242646	0.1925458	0.1740105	0.4386173	0.3453301	0.3580696	0.6744537	0.4240700	0.9981619	0.5339931	0.6612177	0.0787970	0.4941960	0.6511260	0.5933118	0.2506892	0.8370942	0.8244920	0.8065322	0.5949701
6	0.2946979	0.4298989	0.9556822	1.0000000	0.4147758	1.0000000	0.3036405	0.8731423	0.9569989	0.8656072	0.9496070	1.0000000	1.0000000	0.2310266	0.6754001	0.5863146	0.9353360	1.0000000	0.5492369	0.9999040	0.8108630	0.3519562	0.8892131	0.9927425	1.0000000	0.0557724	0.3767013	0.4508118	0.7916162	0.8175955	0.8242648	0.1925464	0.1740231	0.4386170	0.3453302	0.3580747	0.6744538	0.4240573	0.9981620	0.5340633	0.6612179	0.0787970	0.4941837	0.6511334	0.5933203	0.2506921	0.8361676	0.8244891	0.8065305	0.6007839
7	0.2947720	0.4298948	0.9556822	1.0000000	0.4147689	1.0000000	0.3036406	0.8536934	0.9569989	0.8656092	0.9419021	1.0000000	1.0000000	0.2310266	0.6777055	0.5863148	0.9353360	1.0000000	0.5489995	0.9999048	0.7841461	0.3520089	0.8876479	0.9927425	1.0000000	0.0557725	0.3828289	0.4508092	0.7915887	0.8175938	0.8242651	0.1925472	0.1740417	0.4386166	0.3453303	0.3580818	0.6744539	0.4240386	0.9981621	0.5341664	0.6612182	0.0787970	0.4941660	0.6511443	0.5933327	0.2506948	0.8352729	0.8244849	0.8065287	0.6064305
8	0.2948730	0.4298892	0.9556821	1.0000000	0.4147597	1.0000000	0.3036406	0.8346986	0.9569989	0.8656119	0.9343830	1.0000000	1.0000000	0.2310267	0.6799426	0.5863155	0.9353360	1.0000000	0.5486789	0.9999057	0.7586398	0.3520806	0.8860899	0.9927426	1.0000000	0.0557726	0.3884370	0.4508057	0.7915515	0.8175915	0.8242653	0.1925484	0.1740675	0.4386161	0.3453304	0.3580912	0.6744540	0.4240129	0.9981621	0.5343078	0.6612187	0.0787970	0.4941420	0.6511591	0.5933500	0.2506974	0.8344101	0.8244792	0.8065267	0.6119068
9	0.2950041	0.4298818	0.9556821	1.0000000	0.4147477	1.0000000	0.3036407	0.8161474	0.9569989	0.8656155	0.9270450	1.0000000	1.0000000	0.2310267	0.6821136	0.5863167	0.9353360	1.0000000	0.5482663	0.9999066	0.7342891	0.3521735	0.8845347	0.9927428	1.0000000	0.0557727	0.3935695	0.4508009	0.7915038	0.8175886	0.8242655	0.1925498	0.1741012	0.4386156	0.3453304	0.3581032	0.6744542	0.4239793	0.9981622	0.5344924	0.6612193	0.0787970	0.4941106	0.6511782	0.5933727	0.2506998	0.8335790	0.8244717	0.8065246	0.6172101
