Time	YKL109W	YCL066W	YCL067C	YJL056C	YCR040W	YLR098C	YLR013W	YJL110C	YCR097W	YCR096C	YPR199C	YDR421W	YOL089C	YGR044C	YCR018C	YOR140W	YHR006W	YOR032C	YPL248C	YML051W	YGL209W	YGL035C	YMR280C	YDR146C	YML113W	YCR039C	YER189W	YCL065W	YCR041W	YNL339C	YDR545W	YNL337W	YGR296W	YNL336W	YER188CA	YBL111C	YDR543C	YHR091C	YDR544C	YER190W	YGL001C	YKL178C	YBR019C	YMR135WA	YBR020W	YPL283C	YLR463C	YLR467W	YLR465C	YDR009W
0	1	1	0	0	1	0	1	0	1	1	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0
1	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0
2	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0
3	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0
4	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0
5	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0
6	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
7	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
8	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
9	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
10	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
11	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
12	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
13	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
14	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
15	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
16	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
17	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
18	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
19	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
20	1	1	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
21	1	1	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
22	1	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
23	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
24	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
25	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
26	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
27	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
28	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
29	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
30	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
31	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1
