Time	YKL109W	YCL066W	YCL067C	YJL056C	YCR040W	YLR098C	YLR013W	YJL110C	YCR097W	YCR096C	YPR199C	YDR421W	YOL089C	YGR044C	YCR018C	YOR140W	YHR006W	YOR032C	YPL248C	YML051W	YGL209W	YGL035C	YMR280C	YDR146C	YML113W	YCR039C	YER189W	YCL065W	YCR041W	YNL339C	YDR545W	YNL337W	YGR296W	YNL336W	YER188CA	YBL111C	YDR543C	YHR091C	YDR544C	YER190W	YGL001C	YKL178C	YBR019C	YMR135WA	YBR020W	YPL283C	YLR463C	YLR467W	YLR465C	YDR009W

0	0.2288523	0.2010650	0.8070488	0.6750390	0.2695448	0.7647108	0.2295825	0.6494006	0.8060998	0.6751764	0.6875742	0.7687207	0.5730513	0.1527695	0.4551720	0.4537747	0.4706966	0.7165601	0.3848412	0.8816923	0.7679467	0.2376149	0.6262185	0.6719856	0.5604206	0.0205013	0.2449139	0.2841943	0.5718183	0.6455059	0.5166816	0.1059004	0.1320706	0.2538167	0.1810868	0.2710508	0.4328891	0.3571005	0.8409728	0.4587983	0.5698752	0.0347857	0.3013765	0.4077145	0.4637378	0.1551301	0.5556393	0.5912913	0.6424829	0.4107593
50	0.2532578	0.3050115	0.7060897	0.7165404	0.2431868	0.7437926	0.1945158	0.5354177	0.8303038	0.7318685	0.5588015	0.7415128	0.6834912	0.1409350	0.6760288	0.5110129	0.7907875	0.5706028	0.4383500	0.6456648	0.7185974	0.2042363	0.6107230	0.6461750	0.7190258	0.0389990	0.2569041	0.2938970	0.4962090	0.5467159	0.6247622	0.0277312	0.1601288	0.4768950	0.1871909	0.2783288	0.5200360	0.1687195	0.8301659	0.3701345	0.4716205	0.2674401	0.3419412	0.4631415	0.2697714	0.4291968	0.6300657	0.6552614	0.5496615	0.4090966
100	0.2395668	0.3141548	0.6637982	0.8498387	0.3231025	0.6012320	0.2310513	0.3585707	0.6423767	0.5916536	0.4063604	0.6207118	0.7242030	0.1449545	0.7109495	0.3136644	0.6514860	0.6184143	0.3788915	0.7797291	0.5629130	0.2758785	0.6485561	0.7255656	0.8053943	0.0530803	0.2333808	0.3272368	0.6505356	0.6735526	0.5427607	0.0278547	0.1482551	0.4683666	0.1881427	0.2246345	0.4966025	0.1228912	0.5774745	0.3856697	0.4857503	0.3013334	0.2780049	0.4187092	0.2938684	0.5322159	0.6571378	0.7998091	0.6300592	0.3640880
150	0.2460693	0.3650308	0.7541529	0.7329834	0.2621322	0.5701054	0.2912412	0.4621216	0.7578807	0.7093266	0.5540337	0.6406541	0.8238880	0.1707626	0.6870599	0.4051845	0.7175295	0.4492848	0.4427039	0.6684800	0.6157410	0.2676904	0.6543365	0.6939396	0.6178194	0.0542559	0.2389298	0.2516518	0.4392810	0.5993670	0.4549192	0.0041141	0.2327455	0.5413800	0.2272769	0.2297041	0.4741819	0.1897529	0.6765710	0.4837073	0.5032913	0.3353089	0.4132603	0.4980029	0.2875805	0.4037865	0.5230464	0.7546762	0.5125483	0.3917102
200	0.2522296	0.2129758	0.6419037	0.7073760	0.2579001	0.6772675	0.2571508	0.5183955	0.7019249	0.6215980	0.3841438	0.6479912	0.7043673	0.1347376	0.6533418	0.4101109	0.7462392	0.4056783	0.3625945	0.6501904	0.5297681	0.1881998	0.5818409	0.7154342	0.4994440	0.0314981	0.2238029	0.2775356	0.4994787	0.5483480	0.4848544	0.0016584	0.1866172	0.5293465	0.2126035	0.2202180	0.4687541	0.1568948	0.5876570	0.3856544	0.4462264	0.2456876	0.3628848	0.5527414	0.2479562	0.5046596	0.6160780	0.7203670	0.5796338	0.3887439
250	0.1927682	0.3531504	0.7958945	0.5696168	0.2554532	0.5530426	0.1839169	0.4304887	0.7576879	0.6589071	0.3974638	0.4497350	0.6680834	0.1524776	0.7146140	0.3914554	0.8771665	0.4902596	0.4259567	0.7141257	0.8637845	0.3206725	0.5727253	0.6817595	0.6820289	0.0348838	0.2410930	0.3019393	0.5350598	0.5290616	0.6451646	0.0046678	0.1797966	0.4836085	0.1896080	0.2971859	0.4079180	0.1210927	0.7158181	0.4241216	0.4579321	0.2651732	0.4190575	0.5030457	0.3379546	0.4706496	0.7085661	0.7000909	0.6453140	0.3842754
300	0.2040223	0.2197317	0.7077216	0.6549341	0.2016944	0.5803206	0.2038730	0.3523212	0.6613482	0.7109369	0.4546666	0.5993168	0.7136631	0.2151178	0.7161594	0.4126041	0.6827441	0.5105600	0.3738013	0.7099152	0.6111093	0.3275436	0.6873281	0.6731172	0.6572645	0.0636318	0.2351459	0.3448565	0.5121450	0.5672308	0.5663306	0.0077286	0.2326186	0.5236935	0.1594152	0.2554365	0.4053203	0.1592082	0.7687643	0.4721783	0.4190362	0.3225547	0.4242933	0.4754507	0.2235098	0.4168703	0.6786034	0.6173125	0.5666290	0.5035923
350	0.2783158	0.3490119	0.6011832	0.6623188	0.2188740	0.6500051	0.2999780	0.4614983	0.7141438	0.6671088	0.3836127	0.5471913	0.7645040	0.1725368	0.7028629	0.4107557	0.7230768	0.5127490	0.3576093	0.6325022	0.6463972	0.2415577	0.7143732	0.8493443	0.6576968	0.0505743	0.2001203	0.3455853	0.4959580	0.6604378	0.6925722	0.0025286	0.1391723	0.3516616	0.1659052	0.2856859	0.4142073	0.1224532	0.6519978	0.4734558	0.5472088	0.2928127	0.3477324	0.6165240	0.2565528	0.5656029	0.5300775	0.7019977	0.6415009	0.3796765
400	0.2889592	0.2536345	0.6536574	0.7309962	0.2167567	0.7092903	0.2545291	0.5143423	0.6424211	0.7012970	0.4196235	0.7366304	0.7520165	0.1052675	0.7524015	0.4128677	0.5708016	0.4742036	0.3859449	0.7000519	0.6909571	0.3016127	0.5845967	0.8022209	0.7334179	0.0334109	0.2164542	0.3622060	0.4784174	0.7147299	0.6608653	0.0018320	0.1457095	0.3694648	0.2478726	0.2352012	0.5865194	0.1369058	0.7210893	0.4840676	0.4789693	0.2816562	0.3873677	0.5571287	0.2362213	0.5635305	0.7059754	0.6872682	0.5777365	0.3364429
