Regulator	Target	MI	pvalue
ACE2	SWI5	0.8550016013367616	0.0
MBP1	NDD1	0.8208192763980178	3.7692515353349165E-7
NDD1	MBP1	0.8474243901766523	1.102560716503831E-6
SWI6	MBP1	0.8262484390381029	7.883744406964599E-4
SWI4	SWI5	0.8797260655679985	0.0
SWI5	MBP1	0.8214728829301294	1.1301360958171358E-9
ACE2	NDD1	0.8595844479289192	2.274762164589106E-5
SWI5	ACE2	0.8524856388120331	0.0
SWI5	SWI4	0.8748129023947604	0.0
MBP1	SWI6	0.8212500660705453	0.001738669328517184
MBP1	SWI5	0.8232344664624079	1.1301360958171358E-9
MBP1	SWI4	0.833681943409776	3.253903813060788E-10
SWI4	MBP1	0.817255817305412	1.257328985371231E-8
NDD1	ACE2	0.8405811106549145	8.57375883833722E-6
